Nation,Total Units,Total Fatalities,Total Serious Injuries,Total Minor Injuries,Year,Month,Day,Time,Speed Limit,Moisture,Adverse Weather Conditions,DayNight,Crash Type,Crash Severity,Alcohol Related ,Drug Related
AUS, 4, 0, 2, 1, 2017, January, Wednesday, 05:20 pm, 060, Dry, N, Daylight, Rear End, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 07:15 am, 110, Wet, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 04:00 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 05:15 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 05:15 pm, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 1, 0, 2017, January, Thursday, 11:00 am, 060, Dry, N, Daylight, Side Swipe, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 01:00 am, 060, Dry, N, Night, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 03:05 pm, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Thursday, 06:25 pm, 040, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 05:10 pm, 060, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 4, 0, 0, 0, 2017, January, Thursday, 06:15 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 07:30 pm, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 07:13 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, Y, N
AUS, 3, 0, 0, 0, 2017, January, Thursday, 01:30 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 3, 0, 1, 0, 2017, January, Thursday, 01:20 pm, 110, Dry, N, Daylight, Rear End, Major Injury, N, N
AUS, 3, 0, 0, 2, 2017, January, Wednesday, 01:20 pm, 050, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Friday, 07:55 am, 060, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 11:00 am, 050, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 05:15 pm, 100, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Thursday, 04:15 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 1, 0, 2017, January, Friday, 07:15 am, 100, Dry, N, Daylight, Head On, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Friday, 10:20 am, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Friday, 10:00 am, 060, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 3, 0, 0, 0, 2017, January, Friday, 11:40 am, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Friday, 08:30 am, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Friday, 02:35 pm, 060, Dry, N, Daylight, Hit Pedestrian, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Friday, 02:24 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 2, 2017, January, Friday, 09:00 am, 050, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 2, 2017, January, Friday, 04:02 pm, 060, Dry, N, Daylight, Head On, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Friday, 05:00 pm, 090, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Friday, 07:15 pm, 060, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Friday, 04:16 pm, 100, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Friday, 09:00 pm, 050, Dry, N, Night, Head On, Minor Injury, N, N
AUS, 2, 0, 1, 0, 2017, January, Friday, 11:45 am, 100, Dry, N, Daylight, Head On, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Saturday, 08:30 am, 060, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Saturday, 11:20 am, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 2, 2017, January, Saturday, 12:52 pm, 060, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Saturday, 02:30 pm, 060, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Friday, 07:10 pm, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Saturday, 02:00 pm, 110, Dry, N, Daylight, Head On, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Saturday, 11:00 am, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Friday, 04:30 pm, 050, Dry, N, Daylight, Hit Pedestrian, Minor Injury, N, N
AUS, 2, 0, 1, 0, 2017, January, Saturday, 03:16 pm, 050, Dry, N, Daylight, Head On, Major Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Saturday, 04:00 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Saturday, 05:45 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Saturday, 02:30 pm, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Friday, 05:55 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Saturday, 05:45 pm, 080, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 2, 2017, January, Saturday, 09:00 pm, 040, Dry, N, Night, Right Angle, Minor Injury, N, N
AUS, 2, 0, 1, 0, 2017, January, Saturday, 11:55 pm, 060, Dry, N, Night, Rear End, Major Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Saturday, 05:20 pm, 060, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Sunday, 09:00 am, 080, Dry, N, Daylight, Side Swipe, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Sunday, 01:50 pm, 050, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Sunday, 12:20 pm, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, Y
AUS, 2, 0, 0, 1, 2017, January, Sunday, 01:19 pm, 080, Dry, N, Daylight, Hit Fixed Object, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Sunday, 01:30 pm, 060, Dry, N, Daylight, Right Angle, Not Injured, N, N
AUS, 4, 0, 0, 0, 2017, January, Sunday, 01:50 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Sunday, 01:25 pm, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 1, 2017, January, Sunday, 01:20 pm, 050, Dry, N, Daylight, Rear End, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Sunday, 01:30 pm, 060, Dry, N, Daylight, Head On, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Sunday, 04:00 pm, 060, Dry, N, Daylight, Right Angle, Minor Injury, N, N
AUS, 2, 0, 0, 1, 2017, January, Sunday, 03:21 pm, 080, Dry, N, Daylight, Side Swipe, Minor Injury, N, N
AUS, 2, 0, 0, 0, 2017, January, Sunday, 04:20 pm, 050, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Sunday, 02:55 pm, 060, Dry, N, Daylight, Rear End, Not Injured, N, N
AUS, 2, 0, 0, 0, 2017, January, Sunday, 07:25 pm, 080, Dry, N, Daylight, Hit Fixed Object, Not Injured, N, N
